grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
35-44_academic-educator_Long,27,25-34_Long_Action,24,F_35-44_lawyer_Long_Comedy,25,0.012702096992695115
25-34_other_Long_Horror,24,25-34_Long_Action,24,F_35-44_lawyer_Comedy,25,0.033998865253830654
35-44_academic-educator,27,Long_Adventure,32,F_Comedy,28,0.01731856908513546
Long_War,25,35-44_Long_Drama,22,F_35-44_lawyer_Comedy,25,0.00029470283587123116
scientist_Long,30,M_25-34_Comedy,23,F_lawyer_Comedy,25,0.04549048847226462
M_25-34_scientist_Long,30,35-44_Drama,22,F_lawyer_Comedy,25,0.027669751525943982
scientist_Long,30,M_18-24_college-grad student,29,F_lawyer_Comedy,25,0.030849807255216098
M_Long_Drama,50,M_other,55,Long_Drama,41,0.0009709411985475016
M_25-34_Action,46,35-44_scientist_Comedy,43,Drama,41,0.0018245816897673253
academic-educator,38,Long_Action,46,Long_Comedy,32,0.025442019085256767
M_Long_Comedy,29,M_35-44_programmer,31,lawyer_Long_Drama,29,0.02968392213235257
M_25-34_other_Horror,24,M_18-24_college-grad student,29,F_35-44_lawyer_Comedy,25,0.015346556413003538
M_Comedy,29,Long_Adventure,32,35-44_lawyer_Long_Drama,29,0.010424927671333654
M_other_Long_Horror,25,18-24_college-grad student,29,lawyer_Comedy,25,0.013473646508122784
Long_Drama,80,Comedy,88,F_35-44_lawyer_Long,86,0.02489275026883227
M_35-44,24,M_programmer,36,35-44_Long_Comedy,26,0.001268699337017905
M_Adventure,26,M_18-24_college-grad student,29,F_35-44_lawyer_Comedy,25,0.03053816926390392
M_25-34_Horror,30,M_18-24_other_Long,31,F_lawyer_Long_Drama,29,0.0003128535306060845
M_18-24_Long,23,M_18-24_college-grad student_Long,29,lawyer_Long_Comedy,25,0.0004602213398005081
M_25-34_Horror,30,M_Long_Action,42,F_35-44_Long_Drama,29,0.029554688551098444
M_25-34_scientist,30,F_25-34,22,lawyer_Long_Comedy,25,0.03596041300926176
Long_Thriller,26,M_18-24_college-grad student,29,35-44_lawyer_Comedy,25,0.010593295228759892
M_25-34_Adventure,23,18-24_college-grad student_Long,29,F_35-44_lawyer_Long_Comedy,25,0.02779947001330191
M_25-34_executive-managerial,54,programmer_Long,36,Long_Comedy,32,0.0046161768228656875
M_Long_Horror,31,Adventure,32,F_Long_Drama,32,0.01213280763122475
25-34_executive-managerial_Long,54,M_scientist_Comedy,44,Long_Drama,41,3.4658839480110193e-07
War,25,18-24_college-grad student_Long,29,F_35-44_Comedy,26,0.00012311375242015962
executive-managerial_Long,60,35-44_scientist_Long_Comedy,41,Drama,41,6.58143601831875e-06
18-24_Long_Drama,25,25-34_Action,24,35-44_Comedy,26,0.038829090822438884
25-34_other_Horror,24,Sci-Fi,23,lawyer_Long_Comedy,25,0.031956829892258606
F_Action,21,Sci-Fi,23,35-44_lawyer_Long_Comedy,25,0.03646996724686555
War,25,M_Adventure,29,F_lawyer_Comedy,25,0.003265246533200614
35-44_academic-educator_Long,27,M_35-44_programmer_Long,31,F_Comedy,28,0.02804705177092557
25-34_Long_Horror,30,18-24_other,34,35-44_Long_Drama,30,5.9689779384314374e-05
other_Horror,25,18-24_college-grad student,29,35-44_Long_Comedy,26,0.014975828803500556
35-44_academic-educator_Long,27,M_35-44_programmer_Long,31,lawyer_Comedy,25,0.026898211912384513
F_K-12 student,25,18-24_other_Long,31,35-44_Long_Drama,30,0.002327587270331518
Long_War,25,M_college-grad student_Action,22,F_35-44_lawyer_Comedy,25,0.02068967783054221
Long_Thriller,26,M_18-24_other_Long,31,F_Long_Drama,32,0.00016736554890996863
F_Long_Drama,30,M_18-24_other_Long,31,35-44_lawyer_Drama,29,0.00041237246044678816
executive-managerial_Long,60,M_scientist_Comedy,44,Long_Drama,41,2.4538784938008016e-06
M_Adventure,26,M_18-24_college-grad student,29,F_35-44_Long_Comedy,26,0.03418864201748818
F_<18_K-12 student_Long,25,M_18-24_college-grad student_Long,29,F_lawyer_Long_Comedy,25,0.02769955092811976
M_academic-educator_Long,31,35-44_programmer_Long,31,F_35-44_Long_Comedy,26,0.0006835809081240136
M_academic-educator_Long,31,F_Long,27,M_Long,37,0.016810290334367806
M_25-34_executive-managerial_Long,54,M_Long_Action,42,F_Drama,32,0.0006610589918975623
25-34_Long_Horror,30,F,27,F_35-44_lawyer_Long_Drama,29,0.0036873381391242356
F_<18_K-12 student,25,M_18-24_other_Long,31,F_lawyer_Drama,29,0.0028350357053935084
M_academic-educator_Long,31,Long_Adventure,32,F_lawyer_Long_Comedy,25,0.00028098978030386616
academic-educator,38,M_18-24_other_Long,31,F_Drama,32,0.00042556362719034773
K-12 student_Long,25,M_18-24_college-grad student_Long,29,F_35-44_Long_Comedy,26,0.03025321784384257
M_Long_Comedy,29,programmer,36,35-44_Long_Drama,30,0.02388258171160272
M_35-44_Long,24,M_programmer_Long,36,F_Comedy,28,0.0011225256349496836
M_35-44_Long,24,35-44_programmer_Long,31,F_35-44_lawyer_Comedy,25,0.002018185262620478
M_Horror,31,M_18-24_other_Long,31,F_35-44_Drama,29,0.0004385314924810102
M_25-34_other_Long_Horror,24,F_Long,27,35-44_lawyer_Comedy,25,0.03925776461798336
M_25-34_executive-managerial,54,M_programmer,36,F_Long_Drama,32,0.0007440782908123679
War,25,M_18-24_other_Long,31,F_35-44_Drama,29,7.766031538104935e-07
25-34_Drama,35,M_18-24_other,34,F_Long_Drama,32,0.0003054875954765042
F_Drama,30,18-24_other_Long,31,F_35-44_Long_Drama,29,0.00041237246044678816
K-12 student,25,F_Long,27,35-44_Drama,30,0.01785497389190641
Long_Drama,80,scientist,93,F_lawyer,86,9.949875520543503e-12
F_Long_Drama,30,Long_Adventure,32,lawyer_Long_Drama,29,0.043375027109873364
M_Long_Adventure,26,Long_Sci-Fi,23,35-44_lawyer_Comedy,25,0.04986158713431788
Thriller,26,F,27,lawyer_Drama,29,0.007119001127308916
M_academic-educator,31,M_35-44_programmer,31,35-44_lawyer_Long_Comedy,25,0.0006171653091394848
F_sales-marketing,79,M_scientist,93,F_35-44_lawyer_Long,86,4.215776980176537e-12
F_K-12 student_Long,25,18-24_other_Long,31,F_35-44_lawyer_Long_Comedy,25,0.017813470054839846
Long_War,25,college-grad student_Action,22,lawyer_Long_Comedy,25,0.02068967783054221
Long_Drama,80,M_college-grad student_Long,112,F_lawyer_Long,86,3.9345991678138136e-05
35-44_academic-educator_Long,27,Long_Adventure,32,35-44_lawyer_Long_Comedy,25,0.016402919881554533
M_Long_Comedy,29,18-24_college-grad student,29,lawyer_Long_Comedy,25,0.023639041821473514
35-44_academic-educator_Long,27,M_Long_Adventure,29,F_lawyer_Comedy,25,0.01770545861960956
35-44_academic-educator,27,F_Long,27,35-44_lawyer_Drama,29,0.0010727156675025826
M_other_Long_Horror,25,Adventure,32,F_35-44_lawyer_Long_Drama,29,0.04280529846394444
M_Comedy,29,M_18-24_other_Long,31,F_35-44_Drama,29,0.0006151624495501593
<18_Long,25,M_18-24_college-grad student_Long,29,F_lawyer_Comedy,25,0.02769955092811976
M_Comedy,29,M_35-44_programmer,31,F_35-44_Drama,29,0.02968392213235257
K-12 student_Long,25,18-24_college-grad student,29,F_35-44_lawyer_Comedy,25,0.02769955092811976
M_35-44_Long,24,25-34_Long_Action,24,35-44_lawyer_Long_Comedy,25,0.0009457929926734769
F_<18,25,18-24_college-grad student,29,F_35-44_lawyer_Long_Comedy,25,0.02769955092811976
M_35-44_Long,24,M_25-34_Long_Comedy,23,F_35-44_lawyer_Long_Comedy,25,0.001749860678835893
M_War,21,35-44_Drama,22,35-44_lawyer_Comedy,25,0.03220275660234173
M_25-34_Sci-Fi,22,M_18-24_college-grad student_Long,29,F_Long_Comedy,27,0.019001813584591104
25-34_executive-managerial,54,scientist_Long_Comedy,42,Drama,41,7.024362089915969e-07
35-44_academic-educator,27,M_Adventure,29,F_35-44_lawyer_Long_Drama,29,0.002687833778171336
M_Long_Comedy,29,18-24_college-grad student,29,F_Long_Comedy,27,0.021540378670289084
Thriller,26,Long_Adventure,32,F_Long_Drama,32,0.0254987472911034
F_K-12 student_Long,25,M_18-24_college-grad student_Long,29,35-44_lawyer_Long_Comedy,25,0.02769955092811976
M_25-34_Comedy,21,Long_Sci-Fi,23,F_35-44_Comedy,26,0.044613474517720415
F_<18,25,18-24_other_Long,31,F_lawyer_Long_Drama,29,0.0028350357053935084
M_Comedy,29,M_35-44_programmer,31,35-44_Long_Drama,30,0.025904559664864248
M_25-34_Drama,35,M_18-24_other_Long,31,F_Drama,32,0.0009920379948242435
35-44_academic-educator_Long,27,18-24_college-grad student,29,F_35-44_Comedy,26,0.017089760819715513
Long_Sci-Fi,33,Adventure,32,lawyer_Long_Drama,29,0.030472446550101555
scientist,30,25-34_Action,24,lawyer_Comedy,25,0.031234586567617545
25-34_Horror,30,F,27,F_lawyer_Comedy,25,0.034129168770981204
<18,25,18-24_other_Long,31,lawyer_Long_Drama,29,0.0028350357053935084
other_Long_Horror,25,Long_Sci-Fi,23,35-44_lawyer_Long_Comedy,25,0.031088527980252266
Sci-Fi,33,M_Adventure,29,F_Long_Drama,32,0.01785972637923669
25-34_Long_Drama,35,F,27,F_35-44_lawyer_Drama,29,0.016015064311035568
F_sales-marketing,79,scientist_Long,89,F_35-44_lawyer_Long,86,1.558612224809503e-12
K-12 student_Long,25,F,27,F_lawyer_Drama,29,0.02058085438537604
M_25-34_scientist_Long,30,25-34_Long_Action,24,35-44_lawyer_Comedy,25,0.031234586567617545
M_Long_Comedy,29,18-24_college-grad student,29,F_lawyer_Comedy,25,0.023639041821473514
M_35-44_Long,24,25-34_Action,24,35-44_Comedy,26,0.0010759729999871084
scientist_Long,30,F,27,F_lawyer_Comedy,25,0.027675855968377176
Long_War,25,35-44_programmer_Long,31,F_35-44_lawyer_Drama,29,0.01927088721857
scientist,30,25-34_Long_Action,24,F_35-44_lawyer_Comedy,25,0.031234586567617545
25-34_scientist,30,M_35-44_programmer_Long,31,F_lawyer_Comedy,25,0.04322090991507979
M_Horror,31,M_Action,42,35-44_Long_Drama,30,0.03313437784261317
25-34_Sci-Fi,22,Sci-Fi,23,F_lawyer_Comedy,25,0.04486760163828716
<18_K-12 student,25,18-24_college-grad student,29,F_35-44_Comedy,26,0.03025321784384257
<18,25,M_18-24_other_Long,31,F_35-44_Drama,29,0.0028350357053935084
other_Long_Horror,25,18-24_other_Long,31,35-44_Long_Comedy,26,0.005539523450551488
M_18-24_Long,23,35-44_programmer,31,lawyer_Long_Comedy,25,0.03864873425651719
M_25-34_Adventure,23,M_18-24_college-grad student,29,lawyer_Long_Comedy,25,0.02779947001330191
M_25-34_Long_Horror,30,18-24_other_Long,31,F_lawyer_Comedy,25,0.005458120629692474
M_Long_Comedy,29,F_25-34,22,35-44_lawyer_Long_Comedy,25,0.04442448668317524
F_K-12 student,25,M_18-24_other_Long,31,F_35-44_lawyer_Drama,29,0.0028350357053935084
M_other_Long_Horror,25,Adventure,32,lawyer_Long_Drama,29,0.04280529846394444
M_18-24_Long,23,25-34_Action,24,lawyer_Long_Comedy,25,0.0011093002580722215
M_35-44,24,35-44_programmer_Long,31,lawyer_Drama,29,0.00030981949563722
scientist_Long,30,F_25-34,22,35-44_lawyer_Comedy,25,0.03596041300926176
Long_War,25,M_35-44_programmer_Long,31,35-44_Comedy,26,0.02451104457004903
War,25,M_35-44_programmer_Long,31,lawyer_Drama,29,0.01927088721857
M_25-34_Horror,30,M_18-24_other,34,F_Long_Drama,32,1.9345861654656797e-05
M_18-24_Long,23,18-24_college-grad student_Long,29,F_35-44_lawyer_Long_Comedy,25,0.0004602213398005081
M_35-44,24,Long_Adventure,32,35-44_lawyer_Drama,29,7.563218246446324e-05
Long_War,25,M_35-44_programmer,31,35-44_Drama,30,0.018217471105446616
M_25-34_Long_Comedy,21,Sci-Fi,23,F_lawyer_Comedy,25,0.038139948780207676
M_18-24_Long,23,Long_Sci-Fi,23,F_lawyer_Long_Comedy,25,0.0010790038286002685
M_25-34_Horror,30,F_Long,27,35-44_lawyer_Comedy,25,0.034129168770981204
25-34_Long_Comedy,22,25-34_Long_Action,24,lawyer_Comedy,25,0.04046876259568219
M_25-34_scientist,30,M_25-34_Comedy,23,lawyer_Comedy,25,0.04549048847226462
M_academic-educator,31,M_Action,42,lawyer_Drama,29,2.9670763007730815e-05
M_academic-educator_Long,31,Long_Adventure,32,F_35-44_Long_Comedy,26,0.00032270559183558527
35-44_academic-educator_Long,27,M_35-44_programmer,31,F_35-44_lawyer_Comedy,25,0.026898211912384513
Long_War,25,25-34_Action,24,35-44_Long_Comedy,26,0.00021144907010987204
35-44_academic-educator,27,programmer,36,F_35-44_Long_Comedy,26,0.021451107254799363
M_Comedy,29,18-24_college-grad student,29,F_35-44_lawyer_Long_Comedy,25,0.023639041821473514
25-34_Long_Horror,30,M_Adventure,29,35-44_lawyer_Drama,29,0.026479753186038325
F_K-12 student_Long,25,M_18-24_other_Long,31,F_lawyer_Drama,29,0.0028350357053935084
18-24_Long_Drama,25,18-24_college-grad student_Long,29,35-44_lawyer_Comedy,25,0.012952924005147304
25-34_executive-managerial_Long,54,programmer_Long,36,Long_Comedy,32,0.0046161768228656875
F_K-12 student_Long,25,18-24_college-grad student_Long,29,F_lawyer_Long_Comedy,25,0.02769955092811976
War,25,35-44_programmer,31,lawyer_Comedy,25,0.02551307770932544
Long_War,25,F_Long,27,F_35-44_Drama,29,6.198075839832485e-05
other_Long_Action,21,18-24_college-grad student_Long,29,F_lawyer_Comedy,25,0.03100554171296482
25-34_other_Horror,24,F_Long,27,F_35-44_Long_Drama,29,0.005888710220976653
25-34_Long_Comedy,22,25-34_Action,24,35-44_lawyer_Comedy,25,0.04046876259568219
M_academic-educator,31,35-44_programmer_Long,31,F_lawyer_Comedy,25,0.0006171653091394848
M_other_Long_Horror,25,F,27,F_35-44_lawyer_Long_Drama,29,0.006548990712674272
25-34_Drama,35,Long_Adventure,32,F_Drama,32,0.027998385534510502
F_Action,21,25-34_Action,24,F_35-44_Comedy,26,0.045198892974979074
F_K-12 student,25,18-24_college-grad student,29,35-44_lawyer_Comedy,25,0.02769955092811976
Long_War,25,F,27,35-44_lawyer_Comedy,25,0.00015546284530340159
M_18-24,23,18-24_college-grad student,29,F_35-44_lawyer_Long_Comedy,25,0.0004602213398005081
Horror,44,M_35-44_Long_Comedy,47,Drama,41,5.300158076738019e-07
M_25-34_Comedy,21,18-24_college-grad student_Long,29,lawyer_Comedy,25,0.019923487150949645
Long_Thriller,26,M_18-24_college-grad student,29,F_35-44_lawyer_Comedy,25,0.010593295228759892
25-34_executive-managerial,54,M_Long_Action,42,Long_Comedy,32,0.005455588684896682
35-44_academic-educator,27,M_Adventure,29,35-44_lawyer_Drama,29,0.002687833778171336
35-44_academic-educator_Long,27,M_programmer_Long,36,35-44_lawyer_Drama,29,0.004618526595257581
25-34_scientist_Long,30,F,27,F_35-44_lawyer_Comedy,25,0.027675855968377176
35-44_academic-educator,27,F_Long,27,F_35-44_Comedy,26,0.012235414048037052
Thriller,26,18-24_college-grad student_Long,29,F_35-44_Long_Comedy,26,0.011619382085886563
25-34_scientist_Long,30,M_35-44_Drama,22,lawyer_Comedy,25,0.027669751525943982
academic-educator,38,M_programmer,36,F_Long_Drama,32,0.007628239931361172
M_25-34_Long_Horror,30,M_18-24_other_Long,31,35-44_Comedy,26,0.006978766368573173
<18_Long,25,F_Long,27,F_35-44_lawyer_Drama,29,0.02058085438537604
M_Long_Action,55,M_scientist_Comedy,44,Long_Drama,41,0.010899444991417661
Long_Sci-Fi,33,18-24_other_Long,31,F_35-44_Comedy,26,0.018395527711558345
M_Long_Horror,31,F,27,35-44_lawyer_Long_Comedy,25,0.04011826243610997
25-34_executive-managerial_Long,54,M_Long_Action,42,Drama,41,2.3701251639966916e-05
M_academic-educator_Long,31,M_programmer_Long,36,F_lawyer_Drama,29,3.896217098865596e-05
F_sales-marketing_Long,79,college-grad student,112,lawyer_Long,86,9.179361039532123e-06
M_25-34_Long_Horror,30,M_Action,42,lawyer_Long_Drama,29,0.029554688551098444
<18,25,M_18-24_other_Long,31,F_35-44_lawyer_Drama,29,0.0028350357053935084
25-34_other_Long_Horror,24,18-24_college-grad student,29,lawyer_Comedy,25,0.015346556413003538
Long_War,25,programmer_Long,36,35-44_Long_Drama,30,0.025063520691730377
M_Comedy,29,M_Long_Adventure,29,F_35-44_Drama,29,0.012418693352587745
M_25-34_other_Horror,24,18-24_college-grad student,29,35-44_Long_Comedy,26,0.017173905327523612
M_scientist_Long,30,F_25-34_Long,22,35-44_lawyer_Comedy,25,0.03596041300926176
35-44_academic-educator_Long,27,35-44_programmer_Long,31,35-44_Long_Drama,30,0.005117291279168295
F_<18_K-12 student_Long,25,18-24_other_Long,31,35-44_lawyer_Long_Drama,29,0.0028350357053935084
F_Action,21,F_Long,27,35-44_lawyer_Comedy,25,0.044062146761682956
18-24_Long_Drama,25,18-24_college-grad student_Long,29,F_Long_Comedy,27,0.012159106045128544
<18,25,M_18-24_college-grad student,29,F_35-44_Long_Comedy,26,0.03025321784384257
25-34_executive-managerial_Long,54,M_35-44_Long_Comedy,47,Drama,41,1.2255196991733503e-06
<18_Long,25,18-24_college-grad student_Long,29,35-44_Long_Comedy,26,0.03025321784384257
M_25-34_Long_Comedy,21,F,27,35-44_lawyer_Long_Comedy,25,0.045928283321978895
executive-managerial,60,Long_Action,46,Long_Drama,41,9.174298567520537e-05
M_Comedy,29,M_35-44_Drama,22,35-44_lawyer_Long_Comedy,25,0.03161394238419402
War,25,M_18-24_other_Long,31,lawyer_Comedy,25,3.1601619740961346e-06
Long_Horror,44,M_other,55,Drama,41,1.2319105456860116e-05
War,25,M_programmer,36,35-44_lawyer_Long_Comedy,25,0.033394371857175545
M_25-34_Long_Comedy,21,18-24_college-grad student_Long,29,lawyer_Comedy,25,0.019923487150949645
35-44_academic-educator,27,M_35-44_Long_Drama,22,F_35-44_Long_Comedy,26,0.010818876024155663
M_25-34_other_Long_Horror,24,25-34_Action,24,F_lawyer_Long_Comedy,25,0.033998865253830654
M_25-34_scientist_Long,30,35-44_Drama,22,F_35-44_lawyer_Long_Comedy,25,0.027669751525943982
M_Horror,31,F_Long,27,F_35-44_Comedy,26,0.0485150528512475
academic-educator,38,programmer,36,35-44_Long_Drama,30,0.013056706791016906
35-44_academic-educator,27,F_Long,27,35-44_Long_Comedy,26,0.012235414048037052
M_25-34_Horror,30,F_Long,27,F_35-44_Drama,29,0.0036873381391242356
M_25-34_executive-managerial_Long,54,M_Action,42,Drama,41,2.3701251639966916e-05
other_Long_Horror,25,F_Long,27,F_lawyer_Long_Comedy,25,0.0381636130054252
M_25-34_other_Horror,24,25-34_Action,24,F_35-44_Comedy,26,0.03966419213364065
M_25-34_other_Horror,24,F,27,F_Long_Comedy,27,0.0392187804957028
Drama,80,M_Comedy,84,lawyer_Long,86,0.02169850895166578
F_Long_Action,21,M_18-24_college-grad student,29,lawyer_Comedy,25,0.018877718019981372
35-44_academic-educator_Long,27,Sci-Fi,23,lawyer_Comedy,25,0.011533800898180693
M_18-24,23,Long_Sci-Fi,23,35-44_Comedy,26,0.0010426481144647397
executive-managerial,60,M_35-44_Comedy,49,Long_Drama,41,8.898357201605956e-06
M_25-34_other_Horror,24,F,27,F_lawyer_Drama,29,0.005888710220976653
M_academic-educator_Long,31,programmer,36,F_lawyer_Drama,29,3.896217098865596e-05
M_25-34_Drama,35,M_18-24_other_Long,31,F_Long_Drama,32,0.0009920379948242435
M_Long_Comedy,29,M_35-44_programmer_Long,31,lawyer_Drama,29,0.02968392213235257
35-44_academic-educator_Long,27,F,27,F_lawyer_Long_Comedy,25,0.0105652089323488
F_sales-marketing_Long,79,scientist,93,35-44_lawyer_Long,86,4.215776980176537e-12
M_War,21,F_Long,27,F_35-44_Comedy,26,0.019118894150322033
War,25,35-44_programmer_Long,31,lawyer_Drama,29,0.01927088721857
M_35-44,24,programmer,36,35-44_lawyer_Comedy,25,0.0011553798879467383
F_Long_Drama,30,F_Long,27,F_35-44_lawyer_Drama,29,0.006468312520520095
F_<18_K-12 student,25,F,27,lawyer_Drama,29,0.02058085438537604
other_Long_Horror,25,Sci-Fi,23,lawyer_Long_Comedy,25,0.031088527980252266
War,25,F_25-34,22,F_35-44_Long_Comedy,26,0.0007311020201620271
